City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
119,Kahului,US,86.0,few clouds,20.89,-156.47,Maui Seaside Hotel
121,Kapaa,US,78.8,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
124,Poum,NC,70.83,clear sky,-20.23,164.02,Gîte kajeon
128,Sibolga,ID,76.89,light rain,1.74,98.78,Hotel Syariah CN Darussalam
131,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
133,Napasar,IN,83.53,clear sky,27.97,73.55,B m lakhani
134,Kalemie,CD,76.75,clear sky,-5.95,29.19,Mahobilali
139,Manokwari,ID,79.83,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
141,Ilebo,CD,73.47,moderate rain,-4.32,20.58,Hôtel des palmes
142,Caravelas,BR,81.91,few clouds,-17.71,-39.25,Pousada dos Navegantes
147,Chabahar,IR,84.2,clear sky,25.29,60.64,هتل گدروشیا
148,Atuona,PF,78.04,light rain,-9.8,-139.03,Villa Enata
149,Siuna,NI,83.3,overcast clouds,13.73,-84.78,Hotel Kaoba
150,Salta,AR,80.6,clear sky,-24.79,-65.41,Hotel Alejandro I
154,Bambous Virieux,MU,71.01,scattered clouds,-20.34,57.76,Casa Tia Villa
158,Dingle,PH,76.91,overcast clouds,11.0,122.67,Camp Pasica
163,Mount Pleasant,US,75.0,few clouds,32.79,-79.86,Best Western Patriots Point
164,Half Moon Bay,US,82.99,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
168,Montepuez,MZ,72.79,clear sky,-13.13,39.0,RESIDÊNCIAL LANCHONETE
172,General Cepeda,MX,69.8,clear sky,25.38,-101.45,Hacienda Los Jose
173,Bandarbeyla,SO,77.86,broken clouds,9.49,50.81,REER XOOSHLE GROUP
179,Wanning,CN,80.76,light rain,18.8,110.4,Paradise Hotel
182,Chhatak,BD,79.52,light rain,25.03,91.67,Sadi Internationl Hotel
183,Kankan,GN,71.26,overcast clouds,10.39,-9.31,Hotel Bate
184,Gat,IL,79.0,clear sky,31.61,34.76,OlusHome
185,Hithadhoo,MV,83.57,overcast clouds,-0.6,73.08,Scoop Guest House
186,Kenitra,MA,69.8,broken clouds,34.26,-6.58,Bienvenue chez vous
187,Sundargarh,IN,76.64,overcast clouds,22.12,84.03,Sankara City
188,Sao Filipe,CV,82.06,overcast clouds,14.9,-24.5,Tortuga B&B
190,Saint-Philippe,RE,70.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
191,Tezu,IN,74.25,light rain,27.92,96.17,Circuit House
192,Vacaria,BR,73.0,overcast clouds,-28.51,-50.93,Pampa Hotel - Vacaria/RS
194,Griffin,US,69.01,clear sky,33.25,-84.26,Americas Best Value Inn & Suites Griffin
195,Ishigaki,JP,80.87,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
196,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
200,Ribeira Grande,PT,73.4,scattered clouds,38.52,-28.7,Quinta da Meia Eira
201,Souillac,MU,69.8,scattered clouds,-20.52,57.52,Bils' Villa
202,Mwense,ZM,77.14,clear sky,-10.38,28.7,GrandPalm Lodge
203,Cabo San Lucas,MX,93.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
204,Jizan,SA,89.6,few clouds,17.33,42.67,شهدان. ابوالحجر
205,Basag,PH,74.1,scattered clouds,8.92,125.62,Gents Dormitory
210,Georgetown,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
211,Inhambane,MZ,73.0,broken clouds,-23.86,35.38,Oceano
212,Kutum,SD,84.85,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
213,Murray Bridge,AU,78.01,overcast clouds,-35.12,139.27,Balcony On Sixth Lodge
215,Lagoa,PT,69.13,overcast clouds,39.05,-27.98,Casa Das Faias
217,Arlit,NE,98.01,scattered clouds,18.74,7.39,Hôtel Telwa Bungalow
218,Beeville,US,84.0,clear sky,28.4,-97.75,Holiday Inn Express & Suites Beeville
219,Castro,BR,91.27,scattered clouds,-24.79,-50.01,CHACARA BAILLY
220,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
224,Dogondoutchi,NE,91.9,clear sky,13.64,4.03,Hôtel Alheri Maison Alheri
225,Manado,ID,77.0,moderate rain,1.49,124.85,Aryaduta Hotel
226,Shenjiamen,CN,72.72,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
229,Tahta,EG,89.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
233,Los Llanos De Aridane,ES,75.2,scattered clouds,28.66,-17.92,Valle Aridane
238,Russell,US,73.4,clear sky,32.35,-85.2,Macs
240,Alice Springs,AU,75.0,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
241,Sambava,MG,71.82,scattered clouds,-14.27,50.17,Melrose
243,San Policarpo,PH,78.76,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
245,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
249,Pochutla,MX,88.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
252,Thanh Hoa,VN,77.54,broken clouds,19.8,105.77,KHÁCH SẠN NGỌC LY 8
254,Tomatlan,MX,93.63,clear sky,19.93,-105.25,Norma franco
257,Surt,LY,87.82,overcast clouds,31.21,16.59,City Hotel
258,Baghdad,IQ,87.8,clear sky,33.34,44.4,Baghdad Hotel
259,Saint-Pierre,RE,70.0,clear sky,-21.34,55.48,Lindsey Hôtel
260,Naze,JP,75.2,few clouds,28.37,129.48,奄美ポートタワーホテル
262,Antalaha,MG,69.89,clear sky,-14.9,50.28,Hotel Vitasoa
264,Dhuburi,IN,81.0,heavy intensity rain,26.03,89.97,Hotel Samrat
267,Luwuk,ID,77.88,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
269,Vanimo,PG,76.96,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
270,Tripoli,LY,87.39,overcast clouds,32.88,13.19,Al Waddan Hotel
271,Asyut,EG,86.0,clear sky,27.18,31.18,Florence Hotel Assiut
273,Nago,JP,78.8,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
276,Aguimes,ES,75.2,scattered clouds,27.91,-15.45,Hotel Villa de Aguimes
277,Hurricane,US,82.4,clear sky,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
278,San Quintin,MX,87.64,clear sky,30.48,-115.95,Old Mill Hotel
281,Lasem,ID,79.0,few clouds,-6.69,111.45,Kediaman Bpk Abdul Wakhid Bin Asmu'in
282,Muroto,JP,72.41,clear sky,33.28,134.15,Oota Ryokan
283,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
284,Pisco,PE,69.01,few clouds,-13.7,-76.22,Hostal San Isidro Oficial
291,Manta,EC,80.6,scattered clouds,-0.95,-80.73,Balandra Hotel
293,Jiangkou,CN,71.6,clear sky,25.49,119.2,DFM Hotel
294,Ukiah,US,73.4,haze,39.15,-123.21,Hampton Inn Ukiah
295,Matamoros,MX,77.0,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
297,Faanui,PF,78.26,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
299,Khetri,IN,75.31,clear sky,27.98,75.8,Abhay Gad Hotel 7star
311,Rancho Palos Verdes,US,87.8,clear sky,33.74,-118.39,Terranea Resort
313,Ambon,ID,79.7,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
315,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
318,Lambarene,GA,78.89,overcast clouds,-0.7,10.24,Le Refuge
322,San Miguelito,PA,86.0,scattered clouds,9.03,-79.5,Sheraton Grand Panama
323,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
325,Maningrida,AU,71.17,clear sky,-12.07,134.27,Dhukurrdji Lodge
327,Quatre Cocos,MU,71.01,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
329,Bontang,ID,77.95,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
332,Itarema,BR,83.3,few clouds,-2.92,-39.92,Windvillage
334,Bathsheba,BB,87.8,broken clouds,13.22,-59.52,Atlantis Hotel
335,Aswan,EG,93.72,broken clouds,24.09,32.91,Nuba Nile
337,Ridgecrest,US,95.0,clear sky,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
338,Fare,PF,78.85,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
340,Hambantota,LK,80.11,overcast clouds,6.12,81.12,Bungalow 63
341,Misratah,LY,89.22,overcast clouds,32.38,15.09,فندق الماسة
