City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,Codrington,-38.27,141.97,54.23,59,0,16.58,AU,2020-10-01 19:19:57
114,Nikolskoye,59.7,30.79,50.0,81,72,6.71,RU,2020-10-01 19:19:57
115,Souillac,-20.52,57.52,68.0,88,40,4.7,MU,2020-10-01 19:19:58
116,Mehamn,71.04,27.85,44.6,87,90,8.05,NO,2020-10-01 19:19:58
117,Nome,64.5,-165.41,48.99,66,90,13.87,US,2020-10-01 19:16:27
118,Atambua,-9.11,124.89,70.29,84,51,4.97,ID,2020-10-01 19:19:59
119,Hofn,64.25,-15.21,45.77,55,0,7.61,IS,2020-10-01 19:19:59
120,Zhigansk,66.77,123.37,27.23,92,85,9.48,RU,2020-10-01 19:19:59
121,Ponta Do Sol,32.67,-17.1,71.6,56,20,5.82,PT,2020-10-01 19:20:00
122,Mathathane,-22.27,28.75,77.99,48,64,10.18,BW,2020-10-01 19:20:00
123,Gamboula,4.12,15.14,69.57,98,100,2.66,CF,2020-10-01 19:20:00
124,Chapais,49.78,-74.85,44.6,70,90,8.05,CA,2020-10-01 19:20:01
125,Bethel,41.37,-73.41,71.01,43,40,8.05,US,2020-10-01 19:20:01
126,Coro,11.4,-69.67,89.04,58,26,18.63,VE,2020-10-01 19:20:01
127,Arraial Do Cabo,-22.97,-42.03,80.6,74,50,21.92,BR,2020-10-01 19:20:02
128,Birao,10.28,22.79,73.76,91,78,1.63,CF,2020-10-01 19:20:02
129,Vostok,46.49,135.88,37.44,91,0,3.78,RU,2020-10-01 19:20:03
130,Pangnirtung,66.15,-65.71,35.6,43,40,4.7,CA,2020-10-01 19:20:03
131,Broome,42.25,-75.83,66.0,44,90,3.36,US,2020-10-01 19:20:04
132,Butaritari,3.07,172.79,80.78,73,21,14.36,KI,2020-10-01 19:20:04
133,Atherton,53.52,-2.49,48.0,74,4,4.97,GB,2020-10-01 19:20:05
134,Khanpur,28.65,70.66,80.01,16,0,2.3,PK,2020-10-01 19:20:05
135,Marsh Harbour,26.54,-77.06,84.7,70,45,5.79,BS,2020-10-01 19:20:06
136,Nanortalik,60.14,-45.24,38.07,75,45,24.56,GL,2020-10-01 19:20:06
